id;hotel_name;review_score
22197;Bilik Bamboo Hostel;9.4
85099B;Hotel Supalana;7.9
85099F;RedDoorz near Rumah Sakit Condong Catur;8.1
20717;Tsabit Guest house;8.5
20723;OYO 1303 Golden Inn 2;7.8
22900;Bale Ayu Homestay;8.0
21980;Omah Prapen Homestay;8.9
22111;Raintree Boutique Villa & Gallery;8.6
22112;Setia Backpacker;8.2
20728;Kamala House;9.6
22382;RedDoorz near Galeria Mall 2;7.7
22326;Rumah Sawah;9.4
22662;Serene Home of the Heart;8.0
22383;OYO 1542 Yessy Mansion;7.6
20727;RedDoorz Hostel near Adisucipto Airport Yogyakarta;8.4
22328;Catleya Guesthouse;6.4
22327;OYO 895 Mahameru Residence Near RS Condong Catur;8.6
22630;OYO 2454 Wanawiyata Residence;6.4
22629;Rumah Kayen Family Homestay;8.4
21245;Griya Tugu Jogja;9.2
21244;OYO 2432 Malioboro Upy Best Prime;7.4
21242;OYO 2061 Rizki Dhira Guest House Syariah;7.5
21243;Hotel Nagari Malioboro;7.8
22327;OYO 392 Hotel Mawar Saron Near RS Bethesda;7.6
22273;Hana homestay Yogyakarta;8.7
22940;RedDoorz @ Nologaten Ambarukmo;6.6
22652;Cotton House Monjali;8.8
22759;Hotel Popi - Pondok Pisang;5.6
21880;Sagan Huis Hotel;8.9
21738;RedDoorz Plus near UPN Jogjakarta 2;6.1
22077;The Wayang Homestay;8.7
85049E;Reddoorz Syariah near Wijilan Yogyakarta;7.6
22961;Puri Minggiran Guest House;8.7
21448;New Chez Laelik Homestay Jogja;7.8
22837;RedDoorz @ Rejowinangun Kotagede 2;6.6
22749;OYO 586 Hotel Wijaya Near RSUD Prambanan;7.3
22940;Wongso hostel;8.6
22749;D Ajenk Boutique Guest House;8.9
22077;Griya Jetis Tugu;9.2
21738;OYO 1626 Alena Residence Near RS Ludira Husada Tama;7.9
85049E;OYO 931 Dara Dewi Residence;8.3
22243;RedDoorz near Mall Ambarukmo Yogyakarta;6.5
22141;LYNN Hotel by Horison;7.8
22144;Omah Sastro;7.5
22243;OYO 1242 Penginapan Rb Syariah;8.3
22077;RedDoorz near Kranggan Tugu Jogja;6.3
21448;Penginapan Prima;5.8
22759;Bi.es Homestay;4.7
22242;Pondok Ijo Guesthouse & Restaurant;8.7
85049E;OYO 1277 Pondok Damai Syariah;5.3
21731;OYO 583 Royal Gejayan Homestay;8.3
22243;Pendowo Huis Guest House;8.3
21739;OYO 426 Hotel Gading Resto;6.8
21738;Hoz Bed & Breakfast;8.5
22271;RedDoorz near Terminal Condong Catur;7.2
22273;SPOT ON 2107 Ijo Pupus Syariah Residence;7.2
22274;Omah Konco Yogyakarta;8.6
22749;Banana Homestay;8.5
22751;S5 Guest House Yogyakarta;9.2
21034;Kotagede Heritage Homestay;8.0
