hotel_name;review_score;review_score_text;review_score_title;hotel_price
Wyndham Casablanca Jakarta;8.4;532 reviews;Very good;Rp 1,028,500
Mercure Jakarta Pantai Indah Kapuk;8.6;458 reviews;Fabulous;Rp 593,299
Swiss-Belresidences Kalibata;8.0;214 reviews;Very good;Rp 503,900
Fraser Residence Menteng Jakarta;8.7;1,187 reviews;Fabulous;Rp 800,872
Best Western Premier The Hive;8.0;459 reviews;Very good;Rp 680,400
Veranda Hotel @ Pakubuwono;8.0;301 reviews;Very good;Rp 484,200
Verse Luxe Hotel Wahid Hasyim;7.5;315 reviews;Good;Rp 335,145
Residence T63 By SHM;7.4;64 reviews;Good;Rp 107,800
Whiz Prime Hotel Kelapa Gading;7.5;141 reviews;Good;Rp 391,600
Mercure Jakarta Gatot Subroto;8.5;174 reviews;Very good;Rp 604,758
Verse Luxe Hotel Wahid Hasyim;7.5;315 reviews;Good;Rp 357,996
Gran Melia Jakarta;8.4;329 reviews;Very good;Rp 1,091,904
Pullman Jakarta Central Park;8.3;663 reviews;Very good;Rp 1,977,805
Oria Hotel;7.2;92 reviews;Good;Rp 341,100
Aloft Jakarta Wahid Hasyim;8.8;399 reviews;Fabulous;Rp 605,000
The Hermitage  A Tribute Portfolio Hotel  Jakarta;9.2;209 reviews;Superb;Rp 1,196,690
HARRIS Vertu Hotel Harmoni;8.7;587 reviews;Fabulous;Rp 928,000
Ra Premiere Simatupang Jakarta;8.4;97 reviews;Very good;Rp 507,600
Mercure Jakarta Sabang;8.4;335 reviews;Very good;Rp 600,000
Fraser Residence Sudirman Jakarta;8.4;328 reviews;Very good;Rp 1,264,712
Alila SCBD Jakarta;8.2;36 reviews;Very good;Rp 2,783,000
Hotel Shalva Jakarta;8.1;117 reviews;Very good;Rp 269,663
Sentral Cawang Hotel;7.7;206 reviews;Good;Rp 273,602
Menara Peninsula Hotel;7.8;240 reviews;Good;Rp 459,000
Arthama Hotel Wahid Hasyim Jakarta;8.3;294 reviews;Very good;Rp 354,240
Holiday Inn Express Jakarta Pluit Citygate;7.6;438 reviews;Good;Rp 586,723
The Mayflower  Jakarta-Marriott Executive Apartments;8.7;197 reviews;Fabulous;Rp 1,694,000
Oakwood Premier Cozmo Jakarta;;225 reviews;Superb;Rp 1,385,840
Holiday Inn Express Jakarta Wahid Hasyim;;621 reviews;Very good;Rp 486,928
Grand Mercure Jakarta Kemayoran;;744 reviews;Very good;Rp 882,453
HARRIS Hotel and Conventions Kelapa Gading Jakarta;;419 reviews;Very good;Rp 858,000
Hotel Des Indes;;209 reviews;Fabulous;Rp 454,526
Kuretakeso Kemang Hotel;;81 reviews;Very good;Rp 458,720
Century Park Hotel;;640 reviews;Very good;Rp 710,000
Hotel Des Indes;;209 reviews;Fabulous;Rp 454,526
Kuretakeso Kemang Hotel;;81 reviews;Very good;Rp 458,720
Century Park Hotel;;640 reviews;Very good;Rp 710,000
Goodrich Suites  ARTOTEL Portfolio;8.2;171 reviews;Very good;
favehotel Puri Indah Jakarta;;133 reviews;Good;Rp 418,968
