hotel_name;review_score;id
D'Talent Hotel;8.7;20685
nDalem Joglo Krawitan;9.4;48194
Batik Trinidar Homestay;8.3;22488
With Friends Homestay Jogja;7.7;22219
Hotel Grand Rosela;7.9;84879
The Patio Yogya;9.3;21754
Hotel Wisma Sakinah;7.8;21755
RedDoorz near Pascasarjana UGM 2;7.0;22766
OYO 1118 Artomoro Family Guesthouse Near RS Ludira Husada Tama;8.1;22610
Watu Lumbung Culture Resort;6.3;22716
Selaras Inn Syariah;6.0;22706
OYO 2118 Fh Stay;8.7;22371
OYO 1962 Anugerah Wisata Hotel;6.4;85014B
rumah566;9.2;85014A
RHouse Homestay;8.1;84997B
RedDoorz near Ambarukmo Yogyakarta 2;3.7;21212
OYO 441 Namira Hotel Syariah;7.6;21210
RedDoorz near Ambarukmo Yogyakarta;8.8;22914
RedDoorz Plus near Taman Sari;8.0;22553
RedDoorz Hostel near Terminal Condongcatur Jogja;7.6;16237
EDU Hostel;7.3;22714
Ndalem Nuriyyat Villa  Spa & Skin Care;;22812
ViaVia Guesthouse;8.7;84347
Hotel Grand Rosela;7.9;21587
Losmanos Hostel;8.7;22736
Arte Hotel Yogyakarta;7.9;22492
OYO 3144 Ndalem Amandari;7.6;22620
RedDoorz near UGM 3;7.2;22619
Villa Alicia;8.5;21705
Pondok Sare;9.3;90199C
Omah Kertonegoro;8.8;21479
Apartement Malioboro City Superblock;7.9;22111
Puri Langenarjan Guest House;7.9;22785
Manggo Home;5.9;22975
Omah awang Homestay;8.1;22972
Wayang BnB;9.3;22866
OYO 550 Kebon Krapyak Cottage Syariah;8.1;22568
Rumah 3 Kamar Full Ac Dekat Hartono Mall dan Kampus UGM;6.3;85116
RedDoorz near Rumah Sakit Wirosaban;7.7;22664
Hotel Safara Yogyakarta;7.8;21609
Filistay Homestay;9.8;21866
DOM Hotel Jogja;7.8;20669
Lia Homestay;8.3;90129F
OYO 2224 Lousiana House Near RS Condong Catur;9.2;90210B
RedDoorz near UGM 3;7.2;90199C
OYO 3468 Ndalem Gusti Ayu;9.3;21955
Hotel Sala;7.9;72802C
Blue Garden Yogyakarta;8.3;22109
RedDoorz Syariah @ Wisma Arya 2;8.1;85116
Antasena;9.0;22531
JJ House Gejayan;6.9;21811
Griya Lowanu Yogyakarta;7.3;22183
NOMORE Gallery and Guesthouse;9.5;21678
OYO 1241 Eirini Family Residence;7.0;21676
ARUNA Java guesthouse;8.5;84625A
Omah Pugeran Jogja;8.8;84625C
The Journey Hotel;8.1;21931
The Sleepingroom Hostel;8.6;85169B
The Sleepingroom Hostel;8.6;16238
Hinggil Homestay Syariah;7.6;20668
OYO 1162 ZE room;8.1;84906
RedDoorz near Malioboro Tugu Station Jogja 2;8.4;21867
Griya Mulya;8.5;22075
The Sawah Home Hotel;9.6;21866
RedDoorz Plus near Taman Sari 2;6.6;21326
RedDoorz Plus near Lempuyangan Station 4;6.4;21065
Shakilla Homestay&Kost Muslimah;8.4;22074
Cemara Homestay;8.8;22900
Silas Garden;9.3;20713
Sabana Homestay;8.8;20966
RedDoorz near Tugu Yogyakarta;7.0;21116
TONITEL Hotel Malioboro Yogyakarta;7.4;90199C
OYO 634 Elga Sastro Inn Syariah;8.1;22633
OYO 1226 Al Abror Residence;7.8;22866
OYO 1369 Griya Damai Syariah;8.4;22198
